Comment,Designator,Footprint,LCSC,Quantity
4K7,R12,R_0402_1005Metric,C105871,1
56pF,C8,C_0402_1005Metric,C107007,1
10R,R1,R_0603_1608Metric,C109318,1
2K2,"R10,R11",R_0402_1005Metric,C114762,2
22K1@1%,R4,R_0402_1005Metric,C163478,1
TPS54202DDCR,U1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C191884,1
TMC2209-LA-T,U3,QFN-28_L5.0-W5.0-P0.50-BL-EP,C2150710,1
1uF/50V,C3,C_0805_2012Metric,C215803,1
1K,R13,R_0603_1608Metric,C22548,1
5K1,R3,R_0603_1608Metric,C23186,1
Conn_01x04_Socket,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C23398778,1
MDA4020-100M,L1,IND-SMD_L4.5-W4.1_YXMAA0402,C2847473,1
MF254V-11-07-0743,"H1,H2",HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,C2889988,2
12R,R14,R_0402_1005Metric,C2909317,1
10uF/25v,C1,C_1210_3225Metric,C2918502,1
49.9K,R2,R_0603_1608Metric,C2930109,1
4.7uF,"C5,C6,C9",C_0805_2012Metric,C2991173,3
0.1uF/25v,C2,C_0603_1608Metric,C3011652,1
1R00,"R8,R9",R0805,C346776,2
DOZ30P03,Q1,PDFN-8_L3.1-W3.0-P0.65-LS3.3-BL,C36499166,1
100K@1%,R5,R_0402_1005Metric,C60491,1
22uF,"C10,C18,C7",C_0805_2012Metric,C6119901,3
TYPE-C 6P(073),USB1,TYPE-C-SMD_TYPE-C-6P_5,C668623,1
DS18B20U,U4,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,C695836,1
HUSB238_002DD,U2,DFN-10_L3.0-W3.0-P0.50-BL-EP2.5,C7471904,1
100nF/50V,"C12,C15,C16,C17,C4",C_0402_1005Metric,C77020,5
22nF/50V,C11,C_0402_1005Metric,C77023,1
1uF/50V,C14,C_0603_1608Metric,C90540,1
4.7uF,C13,C_0603_1608Metric,C913474,1
20K,"R6,R7",R_0402_1005Metric,C93942,2
XL-1005UGC,LED1,LED0402-RD_GREEN,C965793,1
