Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF/50V,C_0805_2012Metric,113.216,-46.250818,180.0,top
C10,100nF/50V,C_0402_1005Metric,113.792,-60.198,0.0,bottom
C11,100nF/50V,C_0402_1005Metric,113.792,-56.134,180.0,bottom
C12,10uF/25v,C_1210_3225Metric,113.538,-55.118,-90.0,top
C13,0.1uF/25v,C_0603_1608Metric,110.998,-54.356,90.0,top
C14,0.1uF,C_0402_1005Metric,104.9896,-56.280218,180.0,top
C15,22uF,C_0805_2012Metric,111.2126,-59.582218,-90.0,top
C16,22uF,C_0805_2012Metric,113.2446,-59.582218,-90.0,top
C17,56pF,C_0402_1005Metric,104.9896,-53.232218,0.0,top
C18,22uF,C_0805_2012Metric,115.316,-63.754,180.0,bottom
C2,4.7uF,C_0805_2012Metric,105.0728,-46.848718,0.0,top
C3,4.7uF,C_0805_2012Metric,105.0728,-48.880718,180.0,top
C4,4.7uF,C_0805_2012Metric,105.0728,-50.912718,180.0,top
C5,4.7uF,C_0603_1608Metric,106.68,-53.594,90.0,bottom
C6,22nF/50V,C_0402_1005Metric,105.41,-57.265818,90.0,bottom
C7,100nF/50V,C_0402_1005Metric,105.41,-55.435818,90.0,bottom
C8,1uF/50V,C_0603_1608Metric,103.378,-64.027064,0.0,bottom
C9,100nF/50V,C_0402_1005Metric,105.156,-59.944,180.0,bottom
H1,MF254V-11-07-0743,HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,101.6,-50.8,-90.0,top
H2,MF254V-11-07-0743,HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,116.84,-50.8,-90.0,top
J1,Conn_01x05_Socket,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,109.14,-65.913,180.0,top
L2,MDA4020-100M,IND-SMD_L4.5-W4.1_YXMAA0402,107.1486,-59.074218,0.0,top
Q1,DOZ30P03,PDFN-8_L3.1-W3.0-P0.65-LS3.3-BL,109.2652,-50.611018,90.0,top
R1,10R,R_0603_1608Metric,113.4548,-48.118718,180.0,top
R10,4K7,R_0402_1005Metric,115.316,-50.292,270.0,bottom
R11,1K,R_0603_1608Metric,102.87,-58.483,90.0,bottom
R16,100K@1%,R_0402_1005Metric,104.9896,-54.248218,180.0,top
R17,22K1@1%,R_0402_1005Metric,104.9896,-55.264218,0.0,top
R2,49.9K,R_0603_1608Metric,114.2016,-50.443818,-90.0,top
R3,5K1,R_0603_1608Metric,112.4236,-50.443818,90.0,top
R4,20K,R_0402_1005Metric,110.49,-52.312818,270.0,bottom
R5,20K,R_0402_1005Metric,113.284,-52.324,270.0,bottom
R6,1R00,R0805,106.553,-62.345818,0.0,bottom
R7,1R00,R0805,112.141,-62.345818,180.0,bottom
R8,2K2,R_0402_1005Metric,102.87,-53.53,90.0,bottom
R9,2K2,R_0402_1005Metric,102.87,-56.07,270.0,bottom
U1,HUSB238_002DD,DFN-10_L3.0-W3.0-P0.50-BL-EP2.5,109.4232,-47.004218,90.0,top
U3,TMC2209-LA-T,QFN-28_L5.0-W5.0-P0.50-BL-EP,109.347,-57.519818,90.0,bottom
U4,DS18B20U,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,108.966,-42.025818,270.0,bottom
U5,TPS54202DDCR,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,107.6636,-54.436218,90.0,top
USB1,TYPE-C 6P(073),TYPE-C-SMD_TYPE-C-6P_5,109.0352,-41.736018,180.0,top
