Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF/50V,C_0805_2012Metric,154.1008,-74.4198,180.0,top
C10,100nF/50V,C_0402_1005Metric,154.6768,-88.366982,0.0,bottom
C11,100nF/50V,C_0402_1005Metric,154.6768,-84.302982,180.0,bottom
C12,10uF/25v,C_1210_3225Metric,154.4228,-83.286982,-90.0,top
C13,0.1uF/25v,C_0603_1608Metric,151.8828,-82.524982,90.0,top
C14,0.1uF,C_0402_1005Metric,145.8744,-84.4492,180.0,top
C15,22uF,C_0805_2012Metric,152.0974,-87.7512,-90.0,top
C16,22uF,C_0805_2012Metric,154.1294,-87.7512,-90.0,top
C17,56pF,C_0402_1005Metric,145.8744,-81.4012,0.0,top
C18,22uF,C_0805_2012Metric,156.2,-92.2,180.0,bottom
C2,4.7uF,C_0805_2012Metric,145.9576,-75.0177,0.0,top
C3,4.7uF,C_0805_2012Metric,145.9576,-77.0497,180.0,top
C4,4.7uF,C_0805_2012Metric,145.9576,-79.0817,180.0,top
C5,4.7uF,C_0603_1608Metric,147.5648,-81.762982,90.0,bottom
C6,22nF/50V,C_0402_1005Metric,146.2948,-85.4348,90.0,bottom
C7,100nF/50V,C_0402_1005Metric,146.2948,-83.6048,90.0,bottom
C8,1uF/50V,C_0603_1608Metric,144.4,-92.4,0.0,bottom
C9,100nF/50V,C_0402_1005Metric,146.0408,-88.112982,180.0,bottom
H1,MF254V-11-07-0743,HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,142.4848,-78.968982,-90.0,top
H2,MF254V-11-07-0743,HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,157.7248,-78.968982,-90.0,top
J1,Conn_01x04_Socket,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,150.25,-94.3,180.0,top
L2,MDA4020-100M,IND-SMD_L4.5-W4.1_YXMAA0402,148.0334,-87.2432,0.0,top
LED1,XL-1005UGC,LED0402-RD_GREEN,156.8,-68.0,0.0,top
Q1,DOZ30P03,PDFN-8_L3.1-W3.0-P0.65-LS3.3-BL,150.15,-78.78,90.0,top
R1,10R,R_0603_1608Metric,154.3396,-76.2877,180.0,top
R10,4K7,R_0402_1005Metric,156.2008,-78.460982,270.0,bottom
R11,1K,R_0603_1608Metric,143.7548,-86.651982,90.0,bottom
R13,12R,R_0402_1005Metric,156.8,-69.0,0.0,top
R16,100K@1%,R_0402_1005Metric,145.8744,-82.4172,180.0,top
R17,22K1@1%,R_0402_1005Metric,145.8744,-83.4332,0.0,top
R2,49.9K,R_0603_1608Metric,155.0864,-78.6128,-90.0,top
R3,5K1,R_0603_1608Metric,153.3084,-78.6128,90.0,top
R4,20K,R_0402_1005Metric,151.3748,-80.4818,270.0,bottom
R5,20K,R_0402_1005Metric,154.1688,-80.492982,270.0,bottom
R6,1R00,R0805,147.4378,-90.5148,0.0,bottom
R7,1R00,R0805,153.0258,-90.5148,180.0,bottom
R8,2K2,R_0402_1005Metric,143.7548,-81.698982,90.0,bottom
R9,2K2,R_0402_1005Metric,143.7548,-84.238982,270.0,bottom
U1,HUSB238_002DD,DFN-10_L3.0-W3.0-P0.50-BL-EP2.5,150.308,-75.1732,90.0,top
U3,TMC2209-LA-T,QFN-28_L5.0-W5.0-P0.50-BL-EP,150.2318,-85.6888,90.0,bottom
U4,DS18B20U,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,149.8508,-70.1948,270.0,bottom
U5,TPS54202DDCR,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,148.5484,-82.6052,90.0,top
USB1,TYPE-C 6P(073),TYPE-C-SMD_TYPE-C-6P_5,149.92,-69.905,180.0,top
